Suburb,Rooms,Type,Price,Method,Real estate,Distance,Bathroom,Car,Land size,Building area,Year built,Council area,Lattitude,Longtitude,Region name,Property count,Year Sold,Month Sold
Moonee Ponds,4,h,1640000.0,S,Brad,6.9,2.0,1.0,435.0,329.0,1920.0,Moonee Valley,-37.7601,144.9228,Western Metropolitan,6232.0,2016,7
Toorak,3,t,910000.0,PI,Marshall,4.6,2.0,2.0,0.0,136.0,1980.0,Stonnington,-37.842,145.0046,Southern Metropolitan,7217.0,2016,11
Maidstone,2,t,650000.0,S,Jas,6.4,2.0,1.0,279.0,104.0,2013.0,Maribyrnong,-37.78799,144.87515,Western Metropolitan,3873.0,2017,7
Sunshine West,3,h,695000.0,S,Barry,10.5,1.0,0.0,694.0,113.6,1950.0,Brimbank,-37.788709999999995,144.81368999999995,Western Metropolitan,6763.0,2017,7
Forest Hill,3,h,1011000.0,S,McGrath,15.4,1.0,1.0,590.0,114.0,1960.0,Whitehorse,-37.84308,145.168,Eastern Metropolitan,4385.0,2017,7
Abbotsford,1,u,470000.0,S,Nelson,2.5,1.0,1.0,0.0,50.0,2013.0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019.0,2016,7
Burwood,3,h,1590000.0,SP,Jellis,11.7,2.0,4.0,862.0,179.3,1950.0,Monash,-37.8603,145.0979,Southern Metropolitan,5678.0,2017,5
St Kilda,2,u,385000.0,VB,Harrington,6.1,1.0,1.0,0.0,46.0,1970.0,Port Phillip,-37.8648,144.9783,Southern Metropolitan,13240.0,2016,6
Armadale,1,u,405000.0,S,Marshall,6.3,1.0,0.0,0.0,48.0,1966.0,Stonnington,-37.8531,145.0115,Southern Metropolitan,4836.0,2017,4
Fitzroy,1,u,465000.0,SP,Jellis,1.6,1.0,1.0,0.0,52.0,2011.0,Yarra,-37.7974,144.9799,Northern Metropolitan,5825.0,2016,11
Port Melbourne,3,h,3705000.0,S,Greg,3.8,2.0,2.0,214.0,241.0,2014.0,Port Phillip,-37.8341,144.9458,Southern Metropolitan,8648.0,2016,11
Broadmeadows,3,h,450000.0,S,YPA,14.0,1.0,1.0,0.0,100.0,1960.0,Hume,-37.6841,144.92818,Northern Metropolitan,4294.0,2017,7
Williamstown,3,h,1310000.0,S,Sweeney,8.0,2.0,1.0,185.0,139.0,1900.0,Hobsons Bay,-37.8664,144.9072,Western Metropolitan,6380.0,2016,9
Parkville,4,h,1928000.0,S,Jellis,2.6,1.0,0.0,194.0,186.0,1890.0,Melbourne,-37.7944,144.9542,Northern Metropolitan,2309.0,2016,9
Newport,2,h,890000.0,SP,Williams,8.4,1.0,0.0,168.0,90.0,1900.0,Hobsons Bay,-37.8475,144.8897,Western Metropolitan,5498.0,2017,2
Hawthorn East,4,h,2450000.0,S,Marshall,7.5,2.0,1.0,697.0,172.0,1905.0,Boroondara,-37.8307,145.0498,Southern Metropolitan,6482.0,2016,11
Richmond,3,h,1270000.0,S,Jellis,2.6,1.0,1.0,181.0,102.0,1900.0,Yarra,-37.8203,145.0092,Northern Metropolitan,14949.0,2016,8
Maribyrnong,2,u,400000.0,SP,Biggin,8.7,1.0,2.0,3967.0,87.0,2007.0,Maribyrnong,-37.7706,144.8805,Western Metropolitan,4918.0,2016,12
Reservoir,3,h,613000.0,S,Nelson,11.2,1.0,2.0,745.0,149.0,1985.0,Darebin,-37.7007,144.9815,Northern Metropolitan,21650.0,2016,6
Kensington,2,u,515000.0,SP,Pagan,4.2,1.0,1.0,3957.0,81.0,2010.0,Melbourne,-37.7974,144.9261,Northern Metropolitan,5263.0,2017,11
Mordialloc,4,t,1170000.0,S,hockingstuart,21.5,2.0,2.0,312.0,179.0,2004.0,Kingston,-38.001999999999995,145.08916000000005,South-Eastern Metropolitan,3650.0,2017,3
Oakleigh,4,h,1600000.0,PI,Ray,14.0,3.0,4.0,691.0,213.0,1950.0,Monash,-37.8999,145.0993,Southern Metropolitan,3224.0,2017,4
Richmond,2,h,1050000.0,PI,Biggin,2.6,1.0,0.0,134.0,63.7,1900.0,Yarra,-37.817,145.0058,Northern Metropolitan,14949.0,2017,5
Maribyrnong,3,h,820000.0,PI,Biggin,8.7,2.0,2.0,203.0,160.0,2006.0,Maribyrnong,-37.7853,144.8972,Western Metropolitan,4918.0,2016,5
Mont Albert,5,h,1815000.0,S,Jellis,11.8,1.0,0.0,711.0,207.0,1950.0,Whitehorse,-37.8195,145.1134,Eastern Metropolitan,2079.0,2016,11
Malvern East,1,u,315000.0,S,Jellis,11.2,1.0,1.0,0.0,46.0,1940.0,Stonnington,-37.8704,145.0495,Southern Metropolitan,8801.0,2016,11
South Kingsville,3,h,985000.0,S,Williams,9.1,1.0,5.0,669.0,124.0,1950.0,Hobsons Bay,-37.8321,144.8736,Western Metropolitan,984.0,2016,12
Glenroy,3,h,935000.0,S,Stockdale,13.0,1.0,2.0,666.0,176.0,1960.0,Moreland,-37.7015,144.9191,Northern Metropolitan,8870.0,2017,4
Prahran,2,h,1180000.0,S,Jellis,4.5,1.0,0.0,214.0,215.0,1900.0,Stonnington,-37.8577,145.0053,Southern Metropolitan,7717.0,2016,4
Altona North,3,h,910000.0,S,hockingstuart,11.1,1.0,3.0,535.0,132.0,1970.0,Hobsons Bay,-37.8322,144.8399,Western Metropolitan,5132.0,2017,4
Southbank,2,u,600000.0,VB,hockingstuart,0.7,1.0,1.0,3634.0,80.0,1993.0,Melbourne,-37.8281,144.96627,Southern Metropolitan,8400.0,2017,5
Footscray,2,u,605000.0,SP,Jas,6.4,1.0,3.0,2794.0,87.0,2000.0,Maribyrnong,-37.8044,144.9064,Western Metropolitan,7570.0,2017,4
Ivanhoe,2,u,587000.0,S,Miles,7.9,1.0,1.0,721.0,78.0,1960.0,Banyule,-37.7634,145.0406,Eastern Metropolitan,5549.0,2016,12
Clayton,3,h,1462000.0,S,C21,16.7,1.0,1.0,816.0,130.0,1965.0,Monash,-37.92027,145.12937,South-Eastern Metropolitan,5837.0,2017,6
Ascot Vale,4,t,900000.0,SP,Alexkarbon,5.9,3.0,2.0,0.0,159.0,2011.0,Moonee Valley,-37.7831,144.9209,Western Metropolitan,6567.0,2017,5
Bayswater,3,t,640000.0,S,Fletchers,23.2,2.0,1.0,187.0,125.0,2010.0,Knox,-37.83909,145.26075,Eastern Metropolitan,5030.0,2017,1
Brunswick,3,h,976000.0,S,Jellis,5.2,2.0,1.0,240.0,162.0,2005.0,Moreland,-37.756,144.9587,Northern Metropolitan,11918.0,2016,5
Moonee Ponds,2,h,1040000.0,S,Nelson,6.9,1.0,2.0,313.0,95.0,1920.0,Moonee Valley,-37.7663,144.9098,Western Metropolitan,6232.0,2017,8
Pascoe Vale,3,h,599000.0,SP,Ray,9.9,1.0,1.0,534.0,100.0,1950.0,Moreland,-37.7215,144.951,Northern Metropolitan,7485.0,2016,7
Oakleigh,4,h,1840000.0,S,Woodards,14.0,2.0,2.0,598.0,222.0,1900.0,Monash,-37.898,145.0928,Southern Metropolitan,3224.0,2017,4
Hadfield,4,h,777000.0,S,Eview,12.1,1.0,2.0,700.0,176.0,1960.0,Moreland,-37.704,144.9399,Northern Metropolitan,2606.0,2016,8
Flemington,3,h,1012000.0,S,Australian,4.4,1.0,1.0,212.0,102.0,1930.0,Moonee Valley,-37.7818,144.9247,Northern Metropolitan,3593.0,2016,8
Yarraville,3,h,910000.0,S,Village,7.0,3.0,2.0,197.0,109.0,2013.0,Maribyrnong,-37.8197,144.8875,Western Metropolitan,6543.0,2016,4
Hadfield,4,h,700000.0,S,Barry,12.1,2.0,2.0,700.0,168.0,1950.0,Moreland,-37.7056,144.9384,Northern Metropolitan,2606.0,2016,10
Moorabbin,4,h,1035000.0,S,Buxton,14.6,1.0,2.0,688.0,161.0,1950.0,Kingston,-37.9411,145.043,Southern Metropolitan,2555.0,2016,5
South Yarra,2,u,500000.0,VB,Abercromby's,3.3,1.0,1.0,0.0,73.0,1980.0,Stonnington,-37.835,145.0002,Southern Metropolitan,14887.0,2016,8
Bentleigh,3,h,1293000.0,S,Buxton,13.0,1.0,1.0,632.0,108.0,1950.0,Glen Eira,-37.9282,145.0367,Southern Metropolitan,6795.0,2016,10
Glen Huntly,2,u,640000.0,S,Gary,10.4,1.0,1.0,1784.0,110.0,1970.0,Glen Eira,-37.8966,145.0453,Southern Metropolitan,2403.0,2016,7
Kensington,2,h,1234500.0,SP,Nelson,4.2,2.0,2.0,169.0,127.0,2008.0,Melbourne,-37.7922,144.9316,Northern Metropolitan,5263.0,2016,8
South Melbourne,3,h,2075000.0,S,Marshall,2.1,2.0,0.0,141.0,163.0,1890.0,Port Phillip,-37.8333,144.9576,Southern Metropolitan,5943.0,2016,11
Moonee Ponds,4,h,1322000.0,S,Nelson,6.9,1.0,1.0,549.0,192.0,1930.0,Moonee Valley,-37.7696,144.929,Western Metropolitan,6232.0,2016,5
Ringwood East,4,h,1090000.0,S,Philip,21.3,1.0,2.0,894.0,115.0,1950.0,Maroondah,-37.8159,145.24688,Eastern Metropolitan,4407.0,2017,8
Heidelberg Heights,2,h,650000.0,S,Haughton,10.5,1.0,3.0,620.0,85.0,1950.0,Banyule,-37.7377,145.0541,Eastern Metropolitan,2947.0,2016,4
Moonee Ponds,1,u,222000.0,S,Barry,6.2,1.0,0.0,0.0,29.0,2012.0,Moonee Valley,-37.77154,144.91597,Western Metropolitan,6232.0,2017,6
Ormond,2,h,1177000.0,S,Thomson,11.8,1.0,2.0,452.0,105.0,1930.0,Glen Eira,-37.9024,145.0539,Southern Metropolitan,3578.0,2016,11
Essendon,3,h,886000.0,S,Nelson,7.5,2.0,1.0,173.0,107.0,2007.0,Moonee Valley,-37.75382000000001,144.89167,Western Metropolitan,9264.0,2017,5
Elwood,2,u,543000.0,S,Hodges,7.2,1.0,1.0,0.0,74.0,1960.0,Port Phillip,-37.88042,144.9818,Southern Metropolitan,8989.0,2017,6
Altona,2,u,580000.0,S,Barlow,13.8,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay,-37.8696,144.827,Western Metropolitan,5301.0,2016,8
Kingsville,1,u,210000.0,S,Jas,7.8,1.0,1.0,0.0,36.0,1970.0,Maribyrnong,-37.81,144.8786,Western Metropolitan,1808.0,2017,3
Fitzroy North,3,h,1705000.0,S,Nelson,3.6,1.0,1.0,139.0,116.0,1900.0,Yarra,-37.79068,144.97824,Northern Metropolitan,6244.0,2017,12
Sunshine North,4,h,736000.0,S,Barry,13.3,1.0,2.0,615.0,133.0,1955.0,Brimbank,-37.7675,144.8414,Western Metropolitan,4217.0,2016,12
Hampton,4,h,3325000.0,S,Marshall,13.7,3.0,2.0,627.0,303.0,1997.0,Bayside,-37.9449,145.0068,Southern Metropolitan,5454.0,2017,2
Pascoe Vale,2,h,740000.0,S,Brad,8.5,1.0,1.0,487.0,88.0,1940.0,Moreland,-37.71949,144.94283000000001,Northern Metropolitan,7485.0,2017,6
Richmond,2,u,582000.0,S,Biggin,2.6,1.0,1.0,0.0,75.0,2001.0,Yarra,-37.824,144.9918,Northern Metropolitan,14949.0,2016,3
Brunswick East,2,h,1080000.0,S,Greg,4.5,1.0,0.0,193.0,101.0,1890.0,Moreland,-37.7765,144.9751,Northern Metropolitan,5533.0,2016,10
Preston,3,h,1210000.0,S,Nelson,8.4,2.0,2.0,515.0,126.0,1920.0,Darebin,-37.74794,144.99111000000005,Northern Metropolitan,14577.0,2017,3
Toorak,2,u,655000.0,S,Rodney,4.6,1.0,1.0,1816.0,105.0,1960.0,Stonnington,-37.8389,145.0141,Southern Metropolitan,7217.0,2017,8
Greensborough,3,h,714000.0,S,Barry,16.1,1.0,1.0,594.0,95.0,1993.0,Nillumbik,-37.69039,145.09753,Northern Metropolitan,8524.0,2017,12
Hawthorn,2,u,587500.0,S,Jellis,4.6,1.0,1.0,1099.0,72.0,1965.0,Boroondara,-37.8271,145.0347,Southern Metropolitan,11308.0,2016,7
Carnegie,2,h,930000.0,S,hockingstuart,11.4,1.0,1.0,264.0,110.0,1930.0,Glen Eira,-37.8864,145.0561,Southern Metropolitan,7822.0,2016,6
Hawthorn,2,u,627500.0,S,Jellis,4.6,2.0,2.0,0.0,89.0,2000.0,Boroondara,-37.8213,145.0224,Southern Metropolitan,11308.0,2016,8
Murrumbeena,2,u,540000.0,VB,Weston,10.1,1.0,1.0,80.0,67.0,1970.0,Glen Eira,-37.89563,145.06992,Southern Metropolitan,4442.0,2017,7
Albert Park,3,h,1800000.0,VB,Greg,3.3,2.0,1.0,132.0,159.0,1996.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280.0,2016,7
Newport,3,h,995000.0,SP,Greg,8.4,1.0,2.0,316.0,118.0,1960.0,Hobsons Bay,-37.849000000000004,144.8907,Western Metropolitan,5498.0,2016,7
Oakleigh South,4,h,651000.0,PI,Woodards,14.7,2.0,2.0,214.0,189.0,2010.0,Kingston,-37.9244,145.0883,South-Eastern Metropolitan,3692.0,2016,7
St Kilda,2,u,430000.0,S,Woodards,6.1,1.0,1.0,0.0,71.0,1970.0,Port Phillip,-37.8675,144.9851,Southern Metropolitan,13240.0,2016,3
Hawthorn East,4,h,2381000.0,S,Marshall,7.5,2.0,2.0,457.0,166.0,1900.0,Boroondara,-37.8332,145.0461,Southern Metropolitan,6482.0,2016,10
Sunbury,2,u,360000.0,SP,Brad,31.7,1.0,1.0,143.0,112.0,1999.0,Hume,-37.57063,144.70693,Western Metropolitan,14092.0,2017,7
Heidelberg,2,u,450000.0,VB,Mason,8.9,1.0,0.0,2020.0,68.0,1998.0,Banyule,-37.75692,145.06426000000005,Eastern Metropolitan,2890.0,2017,12
Essendon,2,h,1195000.0,S,Jellis,7.5,1.0,1.0,337.0,122.0,1940.0,Moonee Valley,-37.7545,144.91194,Western Metropolitan,9264.0,2017,6
Ormond,1,u,296000.0,SP,Thomson,11.8,1.0,1.0,0.0,36.0,1970.0,Glen Eira,-37.9028,145.0426,Southern Metropolitan,3578.0,2016,9
Ivanhoe,3,h,785000.0,S,Miles,7.9,2.0,0.0,399.0,110.0,1950.0,Banyule,-37.7551,145.05,Eastern Metropolitan,5549.0,2016,7
Burwood,4,h,1682000.0,S,Jellis,11.7,2.0,1.0,921.0,174.0,1950.0,Whitehorse,-37.8494,145.1291,Southern Metropolitan,5678.0,2016,8
Carlton,2,u,995000.0,S,Woodards,1.8,2.0,1.0,0.0,110.0,2000.0,Melbourne,-37.7973,144.9712,Northern Metropolitan,6786.0,2017,4
Kensington,2,u,420000.0,VB,Alexkarbon,4.2,1.0,1.0,0.0,55.0,1970.0,Melbourne,-37.794000000000004,144.923,Northern Metropolitan,5263.0,2016,4
Port Melbourne,3,h,2200000.0,S,Greg,3.8,2.0,0.0,250.0,280.0,1863.0,Port Phillip,-37.8381,144.9391,Southern Metropolitan,8648.0,2016,3
Sunshine West,3,h,520000.0,S,Barry,13.5,1.0,2.0,691.0,170.0,1960.0,Brimbank,-37.7886,144.8138,Western Metropolitan,6763.0,2016,6
Essendon,4,h,1635000.0,VB,Nelson,8.0,1.0,2.0,638.0,227.0,1900.0,Moonee Valley,-37.7523,144.9052,Western Metropolitan,9264.0,2016,10
Coburg North,3,h,637000.0,S,Brad,9.2,1.0,4.0,498.0,97.0,1950.0,Moreland,-37.7323,144.9833,Northern Metropolitan,3445.0,2016,6
Malvern,2,h,1326000.0,S,J,7.4,1.0,0.0,254.0,100.0,1900.0,Stonnington,-37.8674,145.0355,Southern Metropolitan,4675.0,2016,8
Heidelberg,4,t,828000.0,S,Miles,8.9,2.0,2.0,264.0,140.0,2000.0,Banyule,-37.743520000000004,145.08082,Eastern Metropolitan,2890.0,2017,6
Footscray,1,u,216000.0,S,Sweeney,6.4,1.0,1.0,0.0,50.0,1970.0,Maribyrnong,-37.7907,144.8924,Western Metropolitan,7570.0,2016,4
Boronia,4,h,820000.0,S,Philip,25.0,2.0,4.0,719.0,200.0,1975.0,Knox,-37.86434000000001,145.25739,Eastern Metropolitan,9704.0,2017,8
Kew,4,h,2315000.0,S,Marshall,5.6,2.0,0.0,364.0,183.0,1900.0,Boroondara,-37.8125,145.043,Southern Metropolitan,10331.0,2017,11
Williamstown North,3,h,1070000.0,PI,Williams,8.9,2.0,5.0,442.0,249.0,2003.0,Hobsons Bay,-37.8538,144.8722,Western Metropolitan,802.0,2017,8
Tullamarine,4,h,895000.0,S,Jason,12.9,2.0,2.0,700.0,267.0,1999.0,Hume,-37.70598,144.87616,Western Metropolitan,3296.0,2017,8
Templestowe Lower,5,h,1410000.0,PI,Barry,12.4,2.0,2.0,648.0,250.0,1975.0,Manningham,-37.77033,145.1214,Eastern Metropolitan,5420.0,2017,12
Ivanhoe,3,h,1102000.0,S,Nelson,7.9,1.0,1.0,597.0,115.0,1950.0,Banyule,-37.7645,145.0314,Eastern Metropolitan,5549.0,2016,5
Balwyn,2,u,635000.0,S,Fletchers,9.7,1.0,1.0,0.0,70.0,2014.0,Boroondara,-37.8116,145.0724,Southern Metropolitan,5682.0,2016,8
Bentleigh East,5,h,1600000.0,S,Buxton,13.9,2.0,2.0,659.0,315.0,1930.0,Glen Eira,-37.906,145.0547,Southern Metropolitan,10969.0,2016,7
Mentone,2,u,660000.0,S,Buxton,20.0,1.0,1.0,101.0,300.0,1990.0,Kingston,-37.98558,145.05966,South-Eastern Metropolitan,6162.0,2017,6
Camberwell,2,u,755000.0,S,hockingstuart,7.7,1.0,1.0,92.0,82.6,1960.0,Boroondara,-37.8401,145.09113,Southern Metropolitan,8920.0,2017,8
Coburg,4,h,865000.0,S,Brad,7.8,1.0,1.0,452.0,125.0,1925.0,Moreland,-37.7525,144.94799999999995,Northern Metropolitan,11204.0,2016,4
Bulleen,5,h,1730000.0,S,RT,11.8,4.0,4.0,564.0,185.0,1955.0,Manningham,-37.7735,145.0936,Eastern Metropolitan,4480.0,2017,5
Reservoir,3,h,703000.0,S,Nelson,11.2,2.0,1.0,597.0,120.0,1960.0,Darebin,-37.7066,145.0203,Northern Metropolitan,21650.0,2016,6
Doncaster East,4,h,1125000.0,PI,Noel,14.3,3.0,2.0,284.0,180.0,2006.0,Manningham,-37.79773,145.15141,Eastern Metropolitan,10999.0,2017,6
Ascot Vale,2,h,770000.0,PI,Nelson,5.9,1.0,1.0,226.0,87.0,1900.0,Moonee Valley,-37.7774,144.9186,Western Metropolitan,6567.0,2016,10
Yarraville,2,h,780000.0,S,Hunter,7.0,1.0,1.0,435.0,114.0,1950.0,Maribyrnong,-37.8223,144.8779,Western Metropolitan,6543.0,2016,6
Aberfeldie,5,h,1740000.0,S,Nelson,9.1,3.0,2.0,839.0,247.0,1925.0,Moonee Valley,-37.759,144.9015,Western Metropolitan,1543.0,2016,6
Thornbury,3,h,1250000.0,PI,Jellis,7.0,1.0,2.0,695.0,133.0,1960.0,Darebin,-37.75506,145.01841000000005,Northern Metropolitan,8870.0,2017,6
Glen Iris,4,h,2077000.0,S,RT,9.2,2.0,3.0,553.0,143.0,1910.0,Boroondara,-37.8589,145.0413,Southern Metropolitan,10412.0,2016,7
Northcote,1,u,400000.0,VB,Nelson,5.5,1.0,1.0,0.0,43.0,2014.0,Darebin,-37.7831,145.0124,Northern Metropolitan,11364.0,2016,11
Lalor,3,h,544000.0,S,Langwell,16.3,1.0,2.0,534.0,129.0,1960.0,Whittlesea,-37.67024,145.03644,Northern Metropolitan,8279.0,2017,7
Carnegie,3,u,1042000.0,S,hockingstuart,10.1,2.0,2.0,0.0,122.0,2008.0,Glen Eira,-37.89622,145.06032,Southern Metropolitan,7822.0,2017,5
Kensington,2,u,730000.0,SP,Nelson,3.4,2.0,1.0,2135.0,90.0,2010.0,Melbourne,-37.795609999999996,144.93499,Northern Metropolitan,5263.0,2017,6
Richmond,3,h,1456000.0,S,Jellis,2.6,2.0,1.0,157.0,141.0,1900.0,Yarra,-37.8225,145.0029,Northern Metropolitan,14949.0,2016,6
Brunswick,2,h,770000.0,S,Nelson,5.2,1.0,0.0,152.0,87.0,1910.0,Moreland,-37.7611,144.966,Northern Metropolitan,11918.0,2016,10
Brighton,5,h,3700000.0,VB,Kay,11.2,3.0,4.0,1572.0,305.0,1890.0,Bayside,-37.9233,144.9944,Southern Metropolitan,10579.0,2016,6
Bulleen,3,h,990000.0,PI,Barry,11.8,2.0,1.0,585.0,180.0,1950.0,Manningham,-37.7689,145.099,Eastern Metropolitan,4480.0,2016,6
Preston,4,h,875000.0,S,hockingstuart,8.8,1.0,2.0,400.0,147.0,1940.0,Darebin,-37.7371,145.0111,Northern Metropolitan,14577.0,2016,6
Carnegie,3,h,1450000.0,VB,Gary,10.1,2.0,2.0,621.0,167.0,1940.0,Glen Eira,-37.90262,145.05709,Southern Metropolitan,7822.0,2017,5
Maidstone,3,h,832000.0,SP,Sweeney,9.2,1.0,2.0,300.0,125.0,1950.0,Maribyrnong,-37.7896,144.8752,Western Metropolitan,3873.0,2016,12
Balwyn North,4,h,1388800.0,S,Jellis,9.2,2.0,1.0,517.0,247.0,1970.0,Boroondara,-37.783,145.0926,Southern Metropolitan,7809.0,2016,10
Keilor East,3,h,570000.0,SP,HAR,12.8,1.0,2.0,542.0,120.0,1970.0,Moonee Valley,-37.7408,144.8553,Western Metropolitan,5629.0,2016,5
Elsternwick,2,u,626000.0,S,Gary,8.5,1.0,1.0,1764.0,100.0,1930.0,Glen Eira,-37.8889,145.0043,Southern Metropolitan,4898.0,2016,9
Sandringham,3,h,1710000.0,SP,Buxton,15.2,2.0,0.0,398.0,150.0,1920.0,Bayside,-37.94785,145.01467,Southern Metropolitan,4497.0,2017,3
Footscray,3,h,932000.0,S,Jas,6.4,1.0,1.0,451.0,130.0,1910.0,Maribyrnong,-37.8023,144.8915,Western Metropolitan,7570.0,2016,8
Port Melbourne,3,h,1630000.0,S,Marshall,3.8,2.0,2.0,135.0,135.0,1997.0,Port Phillip,-37.8395,144.9343,Southern Metropolitan,8648.0,2017,4
St Albans,3,h,582000.0,S,YPA,14.0,1.0,0.0,674.0,94.0,1960.0,Brimbank,-37.73704,144.79108,Western Metropolitan,14042.0,2017,8
Reservoir,3,h,905000.0,S,Barry,11.2,1.0,2.0,950.0,121.0,1960.0,Darebin,-37.7022,145.0078,Northern Metropolitan,21650.0,2016,11
Albion,3,u,600000.0,SA,Douglas,10.5,2.0,2.0,247.0,127.0,2013.0,Brimbank,-37.779759999999996,144.81559,Western Metropolitan,2185.0,2017,5
South Melbourne,2,h,1200000.0,VB,Greg,2.1,2.0,1.0,131.0,79.0,1890.0,Port Phillip,-37.839,144.94799999999995,Southern Metropolitan,5943.0,2016,6
Brunswick,2,u,601000.0,S,Brad,5.2,1.0,1.0,0.0,57.0,1970.0,Moreland,-37.7778,144.9594,Northern Metropolitan,11918.0,2017,3
Box Hill,3,h,1715000.0,SP,Marshall,13.1,2.0,2.0,458.0,170.0,1950.0,Whitehorse,-37.8257,145.1216,Eastern Metropolitan,4605.0,2016,10
Epping,3,h,560000.0,S,HAR,19.6,2.0,1.0,390.0,147.0,2007.0,Whittlesea,-37.62882000000001,145.00978999999995,Northern Metropolitan,10926.0,2017,7
Camberwell,4,h,2000000.0,VB,Noel,7.8,3.0,4.0,697.0,271.0,1980.0,Boroondara,-37.836,145.056,Southern Metropolitan,8920.0,2016,8
Ivanhoe,2,u,739000.0,S,Miles,7.9,1.0,1.0,648.0,91.0,1965.0,Banyule,-37.7702,145.0493,Eastern Metropolitan,5549.0,2016,7
Camberwell,2,h,895000.0,PI,O'Donoghues,7.8,1.0,1.0,424.0,95.0,1930.0,Boroondara,-37.8465,145.0743,Southern Metropolitan,8920.0,2016,4
Balwyn North,2,u,691500.0,S,Fletchers,9.2,1.0,1.0,0.0,102.0,1968.0,Boroondara,-37.7938,145.0666,Southern Metropolitan,7809.0,2016,7
Rosanna,3,u,601000.0,S,Barry,11.4,2.0,1.0,217.0,142.0,2006.0,Banyule,-37.7388,145.0742,Eastern Metropolitan,3540.0,2016,5
Flemington,1,u,395000.0,SP,Nelson,4.4,1.0,1.0,818.0,50.0,1880.0,Moonee Valley,-37.788000000000004,144.9306,Northern Metropolitan,3593.0,2017,2
Richmond,1,h,911000.0,S,Biggin,2.6,1.0,0.0,126.0,77.0,1900.0,Yarra,-37.8259,145.0107,Northern Metropolitan,14949.0,2017,4
Maribyrnong,2,t,570000.0,S,Jas,8.7,1.0,2.0,98.0,128.0,2009.0,Maribyrnong,-37.7677,144.8925,Western Metropolitan,4918.0,2016,4
Brunswick East,3,t,940000.0,S,Nelson,4.5,1.0,2.0,213.0,116.0,1995.0,Moreland,-37.7643,144.9808,Northern Metropolitan,5533.0,2017,4
Oakleigh,2,u,400000.0,PI,Woodards,14.0,1.0,1.0,0.0,87.0,2004.0,Monash,-37.8991,145.0939,Southern Metropolitan,3224.0,2016,7
Prahran,1,u,330000.0,VB,hockingstuart,4.5,1.0,1.0,0.0,51.0,1970.0,Stonnington,-37.8595,145.0076,Southern Metropolitan,7717.0,2016,6
Tarneit,4,h,463500.0,S,hockingstuart,18.4,2.0,2.0,371.0,156.0,2006.0,Wyndham,-37.867,144.65618,Western Metropolitan,10160.0,2017,7
Camberwell,3,h,1780000.0,S,Fletchers,7.8,1.0,1.0,769.0,133.0,1930.0,Boroondara,-37.8482,145.0949,Southern Metropolitan,8920.0,2016,10
Abbotsford,3,h,1447500.0,PI,Nelson,2.5,3.0,1.0,166.0,174.0,2012.0,Yarra,-37.8017,145.0001,Northern Metropolitan,4019.0,2016,8
Doncaster,4,u,753000.0,S,Barry,13.9,1.0,1.0,241.0,105.0,1970.0,Manningham,-37.7743,145.1093,Eastern Metropolitan,9028.0,2016,8
Reservoir,3,t,620500.0,S,Nelson,11.2,2.0,1.0,158.0,117.0,2011.0,Darebin,-37.7293,145.0216,Northern Metropolitan,21650.0,2016,7
Ascot Vale,6,h,1430000.0,S,Nelson,5.9,2.0,1.0,461.0,286.0,1900.0,Moonee Valley,-37.78,144.9295,Western Metropolitan,6567.0,2016,4
Briar Hill,3,h,830000.0,S,Buckingham,16.1,1.0,2.0,905.0,183.0,1962.0,Banyule,-37.7063,145.12215,Eastern Metropolitan,1390.0,2017,12
Keilor East,4,h,1100000.0,VB,Nelson,11.7,4.0,2.0,500.0,267.0,2011.0,Moonee Valley,-37.73573,144.87531,Western Metropolitan,5629.0,2017,7
Murrumbeena,2,u,680000.0,S,Buxton,12.1,1.0,2.0,275.0,94.0,1975.0,Glen Eira,-37.8936,145.0725,Southern Metropolitan,4442.0,2016,7
Richmond,4,h,1375000.0,S,hockingstuart,2.6,2.0,2.0,58.0,158.0,2007.0,Yarra,-37.817,145.0135,Northern Metropolitan,14949.0,2016,6
Glen Iris,3,h,1751000.0,S,Jellis,9.2,1.0,3.0,609.0,140.0,1930.0,Boroondara,-37.8542,145.0733,Southern Metropolitan,10412.0,2017,2
Elsternwick,2,h,1160000.0,SP,Chisholm,8.5,2.0,2.0,155.0,137.0,2011.0,Glen Eira,-37.8887,145.0046,Southern Metropolitan,4898.0,2016,12
St Kilda,1,u,500000.0,VB,Buxton,6.1,1.0,1.0,0.0,57.0,2001.0,Port Phillip,-37.8668,144.9801,Southern Metropolitan,13240.0,2017,11
Newport,3,h,945000.0,S,Jas,8.4,2.0,1.0,487.0,190.0,2017.0,Hobsons Bay,-37.8438,144.8806,Western Metropolitan,5498.0,2016,5
Balwyn North,4,h,2205000.0,S,Fletchers,9.2,2.0,2.0,1010.0,250.0,1950.0,Boroondara,-37.7982,145.0903,Southern Metropolitan,7809.0,2016,11
Surrey Hills,2,u,640000.0,VB,Jellis,11.2,1.0,1.0,0.0,76.0,1970.0,Whitehorse,-37.8356,145.1029,Southern Metropolitan,5457.0,2017,4
Reservoir,3,h,950000.0,S,RW,11.2,2.0,2.0,565.0,120.0,1920.0,Darebin,-37.7196,144.997,Northern Metropolitan,21650.0,2016,11
